timeOpen;e_open;e_high;e_low;e_close
5-Jun-2023;152745.7469055522;152763.7510078791;143797.3765642181;146374.5729520675
4-Jun-2023;152905.7757007257;154459.266538046;152360.6736753988;152753.4956132566
3-Jun-2023;154119.6025622392;154232.8413972275;152347.2290830125;152906.9323319466
2-Jun-2023;150864.6477144182;154350.4987700928;150009.1192177953;154106.3362125423
1-Jun-2023;152349.2696014426;153470.4431843827;150098.290583069;150846.6397106867
31-May-2023;150327.5996835987;152366.8062568529;150327.5996835987;152366.8062568529
30-May-2023;151933.6419917342;154937.345656348;150321.9306956233;150321.9306956233
29-May-2023;150834.5072691047;152187.3217913352;150834.5072691047;151932.4309276172
28-May-2023;146691.1314867849;151342.1367930176;146239.9951201217;150962.2204079844
27-May-2023;146489.0129721872;147098.5700659954;145601.0963007405;146692.7059785242
26-May-2023;144458.0345460677;147233.2539762998;144334.3525281532;146498.1513205965
25-May-2023;144160.6281084861;145303.8023931527;141238.7184595751;144476.2946630587
24-May-2023;148641.2839803489;148641.2839803489;143334.0667076805;144181.0413414051
23-May-2023;145597.2322067215;149727.2177972702;145477.6311625288;148647.7707220008
22-May-2023;144567.8444606478;146166.181160554;143630.3019155586;145577.5020160859
21-May-2023;145786.0142210977;146409.4746390866;144083.4218235611;144542.9743912095
20-May-2023;145202.5722644026;146496.5873007663;144824.5539991133;145813.2390217715
19-May-2023;144774.4664252496;145745.7465580668;144488.299748738;145188.4306143386
18-May-2023;145309.9545778029;147202.8302271705;142645.270117408;144833.4789784858
17-May-2023;146865.4112101207;147790.2257751193;143220.224188592;145293.316123442
16-May-2023;145345.9401008477;147791.7393848206;143368.7231466692;146869.6825754628
15-May-2023;139276.7111946211;147302.112392837;138283.8167096334;145403.9909637062
14-May-2023;138910.1279893313;141027.9007107988;138687.4511690214;139286.7562983404
13-May-2023;139858.8552174543;140453.0941884889;138319.8425629401;138910.6663507343
12-May-2023;138196.8138997121;140172.069604516;133746.9191684051;139831.3792456562
11-May-2023;140220.1011801775;140220.1011801775;136471.7346182977;138297.9685926819
10-May-2023;143606.3366283638;143606.3366283638;136668.3618306243;140213.1995611846
9-May-2023;143672.1871150401;144569.2094753584;142419.6341003874;143636.6073672765
8-May-2023;145697.29613878;146762.2809663166;141293.7507273162;143670.7664026862
7-May-2023;147842.0647952281;150494.0547732428;145744.0858151012;145744.0858151012
6-May-2023;155278.1845469819;156996.3628942648;145561.1475038677;147865.7315029369
5-May-2023;147409.8818961848;155506.5227873179;147340.2875710181;155245.634848011
4-May-2023;151444.275434883;151444.275434883;146683.0180663202;147399.752684411
3-May-2023;149894.8006965238;152265.8334714369;146964.317135729;151403.1716241246
2-May-2023;147769.5610527662;150587.5601772601;146768.0668799624;149902.9858108076
1-May-2023;150352.2746273823;151746.2953740907;145951.7470116209;147787.9760526159
30-Apr-2023;153559.236223368;155946.7396171838;150998.5508434794;150998.5508434794
29-Apr-2023;152257.8465422189;154221.5437054085;151889.8254464035;153573.3698506985
28-Apr-2023;155795.4669345337;156612.3179808922;150386.6863567889;152253.6414525007
27-Apr-2023;152694.7726960232;157957.8637803971;152404.7692501573;155755.7508285399
26-Apr-2023;152463.147454974;160595.9223746062;147215.0580950283;152684.217260238
25-Apr-2023;150138.908103986;153389.2966131005;147373.2925519711;152512.5484769091
24-Apr-2023;151666.8376332901;153761.7005628914;147570.4542586195;150183.9822852503
23-Apr-2023;152651.2585674589;153307.5971754395;149785.9204702954;151664.9433852977
